,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-144.0361918932521,-85.99722874368675,-200.14841760798834,34.86339510756129,,
1,0,1.0548982914891587,51.38788234283359,-39.488787867691855,22.063351616824008,0.027529681101441383,1.0800623893737793
2,1,94.52748919117728,118.63937464943169,77.23346085155576,13.303906156287965,0.015155998058617115,0.040416982024908066
3,2,155.7798830048218,222.03824249074432,110.09501350998438,28.84426732499603,0.012813542038202286,0.018411532044410706
4,3,211.12175903518556,259.47833695974595,156.23945942162038,33.69952096751661,0.006245636381208897,0.015742231160402298
5,4,236.34631432866382,305.33632980748183,168.0953859821751,45.92825594643558,0.009700135327875614,0.013292175717651844
6,5,267.6619540444457,350.77278365968306,196.24758338833524,45.65609821733894,0.009055299684405327,0.011414180509746075
7,6,331.77152153164053,407.04733805613887,221.4326565810834,50.64399486560682,0.006505930796265602,0.007946835830807686
8,7,289.7286521399528,390.63389629947255,233.41797047393388,49.75037755108399,0.008992341347038746,0.006862320937216282
9,8,300.7600378862884,346.1646368952296,220.63414743437164,35.03658731416885,0.00657403189688921,0.007570645306259394
10,9,275.6721340642295,343.4342169341527,223.4536345443123,33.72110090023047,0.005193689838051796,0.00676054647192359
11,10,313.17358811990573,397.1485134216862,237.4422467859677,41.32775578931384,0.00581321632489562,0.005749710835516453
