Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
28.24722957611084	0	-167.78459097394395	-9.18306593833071	68.19309350105418	-26.55862337352188	-367.83634442745756	20.0	0.0	1008	10017	-166.30012449864572	-9.324816554938069
62.022568702697754	1	-163.4595075548752	-8.74551078939567	68.7756084155201	-25.343271124003344	-349.84416198674563	20.0	0.0	1008	20034	-164.73296540103698	-8.716276248786313
94.3048791885376	2	-161.96218790736467	-8.64226896537037	63.18291988209053	-26.45739294029068	-332.0339912725324	20.0	0.0	1008	30051	-166.56887994522984	-8.58296005556054
125.9420735836029	3	-165.93694112495072	-8.770120856782539	62.357078611341976	-28.477760740965696	-401.32943625814477	20.0	0.0	1008	40068	-158.79943873119285	-8.370022403958432
157.4742569923401	4	-170.67311177685113	-8.857949828328028	67.17753539296253	-26.970810662547052	-366.5851529044409	20.0	0.0	1008	50085	-149.4576977112574	-7.683130255475999
189.92120265960693	5	-167.30188203707843	-8.689552665908622	63.22428550168805	-36.94884904432581	-356.30608668156475	20.0	0.0	1008	60102	-168.61698039056316	-8.340988578820882
221.97167587280273	6	-157.26499023736497	-8.054824045607788	59.491701307812136	-29.52158823188821	-304.98935658620337	20.0	0.0	1008	70119	-147.68396014371538	-7.469209963053608
253.4723162651062	7	-157.02483691787486	-7.998452058509063	65.24212974121298	-21.555572487339365	-372.6115878227707	20.0	0.0	1008	80136	-157.57272390419178	-7.610675296422111
285.19897651672363	8	-150.23523111720405	-7.625796648202468	60.213786489023654	-28.966847889133803	-349.29933706426704	20.0	0.0	1008	90153	-165.04857842302346	-8.112510525802042
316.790070772171	9	-162.73546825335995	-8.320564457269287	63.38665756894268	-28.96664445175592	-343.86256043830656	20.0	0.0	1008	100170	-140.13271770551643	-7.5232442456494155
348.2908878326416	10	-160.31257612579338	-8.117227928043443	60.866031987500236	-23.90098391901011	-332.84439429216	20.0	0.0	1008	110187	-167.88838465604627	-8.006725678535412
381.16729736328125	11	-155.48582939226335	-7.951492345849629	58.63767606908755	-33.35983126906719	-330.0949226393236	20.0	0.0	1008	120204	-147.49609175173717	-7.2675722269773715
410.0124547481537	12	-157.44974483354397	-7.936933892510479	60.52299924373765	-24.165002208715396	-312.3497935305691	20.0	0.0	1008	130221	-141.39066991821633	-7.327158564002057
428.99309396743774	13	-153.17464771898236	-7.8015042352335	63.360791943372575	-24.927086314550206	-318.84800361552294	20.0	0.0	1008	140238	-156.901418685844	-7.5107107745703106
