,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-169.0484386596262,-59.81748840010013,-233.31437146567876,49.60891363374641,,
1,0,30.62970537603145,81.90413423271963,-27.47008377480419,37.85695046062091,0.02528802491724491,1.0278335809707642
2,1,81.99430854832266,122.30927448099658,26.198610402823917,27.195070621853695,0.01964215189218521,0.05006971210241318
3,2,153.33345577223554,197.58201627055928,111.26097988746717,24.991581119383063,0.015091773122549057,0.02562018111348152
4,3,195.92802043477363,256.42678443319403,130.4805732645365,30.507909260008066,0.013381252065300941,0.015009540133178234
5,4,263.9675170714616,329.9263555568435,235.84912712305976,25.825057558488343,0.009075925685465336,0.012695953249931335
6,5,241.01040478650557,293.2267081293477,156.48877225329903,45.39997671659739,0.011134983040392399,0.010160498321056366
7,6,324.9335018229083,387.72367594199477,247.35633571444686,42.037203548240484,0.008117645978927612,0.008295439183712006
8,7,294.4482281203798,365.6072046052991,232.19451097601436,34.33272789350858,0.006081187166273594,0.007940723560750484
9,8,326.43701154127905,412.0404615452871,240.62376310216075,46.76843703795485,0.00663264375180006,0.0068321069702506065
10,9,293.55255619078787,406.0973876640021,226.2627887504502,55.560836947907056,0.007047407794743776,0.005723166279494762
11,10,298.3750347436624,375.34468162189154,256.6653201997355,32.58510073683148,0.005235498305410147,0.006914055440574884
