Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
216.40645909309387	0	-170.9567316299937	-9.217446731658937	64.6399814302506	-45.95358530987153	-346.1320447585274	20.0	0.0	1050	10050	-166.10317835215372	-8.88009494466265
425.62931966781616	1	-164.04124662047792	-8.83795338056005	64.16563545048048	-33.241816207731084	-339.1090019472412	20.0	0.0	1050	20100	-171.23763948715958	-8.576435287972105
635.9696424007416	2	-159.06291716438815	-8.45450409360305	66.94935690770363	-32.21349206675988	-340.0594257346634	20.0	0.0	1050	30150	-162.54744895395515	-8.159234421792135
849.4808056354523	3	-149.30953967418984	-7.693307835318365	67.00977013412992	-20.930333496358383	-396.59938416527814	20.0	0.0	1050	40200	-158.66856129401583	-8.76733713107905
1059.2142989635468	4	-162.14411238239433	-8.027343249442206	66.46924371991295	-27.912740911721528	-362.8847896000974	20.0	0.0	1050	50250	-143.04037503979228	-7.222510026916563
1271.2958102226257	5	-153.01175912781602	-7.529201894214741	63.080513091573216	-22.586830192548152	-330.9385008665993	20.0	0.0	1050	60300	-161.76797292070992	-8.06100099576243
1480.4132587909698	6	-149.85801895104984	-6.849691110520254	66.4690878199025	-29.662708664123645	-326.5789600027705	20.0	0.0	1050	70350	-156.6022779993745	-8.139950198506286
1687.1591153144836	7	-153.1577897956493	-6.759472833108352	69.273323623464	-26.44371132598453	-366.5930948904284	20.0	0.0	1050	80400	-164.25439537539057	-8.732054541053154
1895.672818183899	8	-132.76402550011827	-5.646209934488622	59.7182560641387	-34.39261907347102	-366.1205000152896	20.0	0.0	1050	90450	-154.28781745720477	-7.821302346049786
2105.4955790042877	9	-137.01203742803108	-5.78590634573835	61.72535296855488	-18.746816440772534	-328.24860452634135	20.0	0.0	1050	100500	-157.79403260742473	-7.97329330444537
2315.627234697342	10	-131.10827198777662	-5.404526106953157	61.409468561619974	-28.14022526968645	-337.60143859442735	20.0	0.0	1050	110550	-140.18278894816495	-6.508106515289995
2524.6415984630585	11	-123.17007398628253	-4.782950934587856	56.32764920024166	-27.600983439802828	-286.9081064318585	20.0	0.0	1050	120600	-162.7901259711841	-8.305075853344002
2737.0777366161346	12	-119.89383260689085	-4.770355454321572	60.74436435991568	-26.981226349178325	-340.1274567927588	20.0	0.0	1050	130650	-141.5900331569244	-6.830381332863259
2948.3095865249634	13	-115.76992110877835	-4.498366623624451	58.25799705963639	-22.709413388253555	-385.1035946298897	20.0	0.0	1050	140700	-177.50122110372726	-9.054646835438351
3157.700422525406	14	-115.60000053346731	-4.632204606139203	61.26176560468307	-27.123859868579217	-501.01600256070424	20.0	0.0	1050	150750	-168.7202639426988	-7.986046006326158
3365.2975113391876	15	-111.78168723048152	-4.540075233966611	55.14723103243861	-19.468861743115813	-314.6700188920637	20.0	0.0	1050	160800	-146.2944881515188	-7.65932790760484
3573.245859146118	16	-113.1321286358686	-4.536591473231411	55.46652218127192	-23.674483309056097	-413.7989998742191	20.0	0.0	1050	170850	-173.61661428141025	-9.009549486487693
3781.1899337768555	17	-110.04887112056497	-4.376978787427901	47.87922635397033	-24.00085951007118	-302.41381601167535	20.0	0.0	1050	180900	-145.99401774548102	-7.2124151104587675
3991.316559791565	18	-106.15775319279729	-4.191761976625376	46.96762262565918	-21.574904687156756	-279.82811696331464	20.0	0.0	1050	190950	-151.58597853437138	-7.8812608825277
4200.806353092194	19	-103.084063903955	-4.003518747193933	46.70616282857003	-24.01151351969108	-277.5937083378381	20.0	0.0	1050	201000	-166.15524672229262	-8.48314361088272
4409.95809340477	20	-105.08234301423383	-4.258591855281678	49.04555367574695	-26.272640187832142	-328.60586750217584	20.0	0.0	1050	211050	-166.4078710905914	-8.386759831469234
4617.576353549957	21	-96.7205757395977	-3.9619669573853336	45.67231474029305	-21.472151549241623	-326.09111310117805	19.98507462686567	0.29888036409702673	1050	221100	-149.50743206178015	-7.625848800838442
4827.141543865204	22	-97.86521969566878	-4.006406006010179	45.14998959171079	-19.868564226330413	-297.5531893836079	20.0	0.0	1050	231150	-163.1153116979066	-7.915391174688013
5042.7875072956085	23	-99.4601102051425	-4.124414609459714	43.047661940934795	-26.50115565320126	-272.9907054068112	20.0	0.0	1050	241200	-148.4036694804672	-8.084697595180375
5252.951923131943	24	-97.07830900790215	-4.1267800655647555	42.905716585981914	-21.850905961200848	-360.91590363967305	20.0	0.0	1050	251250	-180.0834329586656	-9.012293139198173
5461.90526008606	25	-97.44270296833065	-4.198142923905615	47.9839990483966	-20.50593594885382	-359.89526619693777	20.0	0.0	1050	261300	-157.8189004453928	-7.763903888985159
5673.316606521606	26	-93.95777949172101	-3.9321062426082847	40.913483186244754	-21.158900663449227	-281.9910355127951	20.0	0.0	1050	271350	-165.08036700396846	-8.568438912108235
5880.827355146408	27	-95.46023539564636	-4.0905343266860825	44.52496954958995	-19.364765885286157	-269.0556804011236	20.0	0.0	1050	281400	-165.50743173906727	-7.875621625387748
6099.778699874878	28	-99.40482709669041	-4.123866711619696	46.80677264664518	-21.714508786938765	-430.2751201542184	20.0	0.0	1050	291450	-169.62294368431373	-8.552435790869854
6307.897771596909	29	-92.80317422310287	-3.974780154262072	41.668079085965516	-23.6037798517035	-247.8768314946608	20.0	0.0	1050	301500	-163.93541216453735	-8.941283588159695
6517.5602769851685	30	-101.73145447103711	-4.415218896941194	55.30359544604907	-20.839764320743136	-399.5695320692247	20.0	0.0	1050	311550	-180.3214600178384	-8.896590695372867
