Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
218.73230838775635	0	-163.6120617700602	-8.872337838747242	63.3975339566919	-45.75020906622302	-354.361553670095	20.0	0.0	1050	10050	-157.98647405550304	-8.316749578040483
431.07499623298645	1	-171.78184298968077	-9.20901013612107	67.1940733641788	-29.888495430595555	-386.9842447037466	20.0	0.0	1050	20100	-163.72195288358904	-8.605678928591841
646.9279735088348	2	-169.510183869903	-9.028025885954584	61.27362595666723	-32.865111075269404	-354.52238176229537	20.0	0.0	1050	30150	-159.97002298036165	-8.272135993060854
859.399569272995	3	-157.75230525083	-8.350363993789216	60.15301815326091	-21.439246393729633	-348.53860288755305	20.0	0.0	1050	40200	-147.21617082821635	-8.061925257323987
1069.817289352417	4	-160.61521144197332	-8.352316595305338	63.15846522530746	-32.87353016864908	-357.1107827669054	20.0	0.0	1050	50250	-157.823541602014	-7.74638627912948
1280.8509137630463	5	-162.32293855408201	-8.357586849607609	63.518806161859594	-26.53586417772957	-314.2470741263041	20.0	0.0	1050	60300	-140.33879805802593	-6.866956797199316
1493.8605916500092	6	-152.7601130773532	-7.624574537622234	66.08846172396929	-28.992368590468264	-345.4657807673057	20.0	0.0	1050	70350	-143.628735029235	-7.320383473679128
1708.4346523284912	7	-148.49380635543622	-7.23142986216552	62.866741294076235	-27.290088540991498	-326.8653444812677	20.0	0.0	1050	80400	-158.05340736480989	-7.9848945770536925
1921.5167906284332	8	-149.951377663931	-7.1171522091805866	60.3389947042057	-29.298261276226345	-343.5280880124774	20.0	0.0	1050	90450	-147.819423463026	-7.350663280595432
2132.07301568985	9	-150.68969163334168	-7.18468040145647	61.10812972464586	-32.03319001080479	-317.1347591972722	20.0	0.0	1050	100500	-154.00091553791697	-7.178343076386563
2341.7052867412567	10	-149.85625253202718	-6.941409503692346	65.07146946775852	-28.025103420687753	-342.2587976913118	20.0	0.0	1050	110550	-146.06067399370787	-6.255802836213284
2556.0215322971344	11	-138.10988776425512	-6.2673055788912935	64.92733886405688	-23.39485935641634	-333.63249028507835	20.0	0.0	1050	120600	-134.6755090489784	-6.117611502641239
2765.9923179149628	12	-144.06850882489545	-6.405006587929993	64.42805447983658	-24.204910157128733	-366.2405200500289	20.0	0.0	1050	130650	-124.92194205383396	-5.538801389040059
2977.542611837387	13	-133.37538213541717	-5.901611768261296	62.76785363827966	-23.27275008483516	-339.6419692312577	20.0	0.0	1050	140700	-139.63495519805366	-5.680733742528955
3188.224126815796	14	-130.1999623652387	-5.753428551434565	63.94084102662506	-20.362764946810707	-394.171302996926	20.0	0.0	1050	150750	-133.32353219310835	-5.761913965643349
3400.414948940277	15	-135.86206549246901	-5.85304588367554	60.10452340051454	-25.199309844196165	-365.4402094975943	20.0	0.0	1050	160800	-129.56007535689545	-6.226827843042479
3610.54674744606	16	-128.99509096293482	-5.457375823156713	62.216906990729775	-26.091146582727582	-361.2055831317747	20.0	0.0	1050	170850	-112.80111845940385	-4.682154611745976
3821.8078656196594	17	-121.12783546258972	-5.07487219351573	56.23226621357962	-22.044039977187847	-289.00546582553704	20.0	0.0	1050	180900	-125.03890299552891	-4.920539488362514
4032.2696878910065	18	-127.89020876857211	-5.2033211947859	61.06079610603566	-22.13886842034902	-408.5856563940713	20.0	0.0	1050	190950	-130.55788246458764	-5.109139112099747
4241.611794471741	19	-126.1354081235275	-5.167101315909799	59.079584468472774	-21.88238974437197	-317.25314711512516	20.0	0.0	1050	201000	-143.6052715997685	-6.553791781038616
4454.721522092819	20	-121.26139013449682	-4.986976062078208	57.828229747645324	-17.928524593594005	-305.11184749371193	20.0	0.0	1050	211050	-120.55723733131559	-4.677346121733009
4667.406672954559	21	-118.29546313165393	-4.666544882898769	55.03809876998473	-28.082467206982706	-320.2763034523601	20.0	0.0	1050	221100	-125.33217587303241	-5.229428808818641
4892.353896856308	22	-119.80442784119717	-4.870659741931495	63.413226960626695	-19.017300751202747	-383.79777888794797	20.0	0.0	1050	231150	-131.37756105582565	-5.676458877775268
5105.0439438819885	23	-114.60504166250149	-4.620156195795583	57.71842539160114	-18.136719404004054	-347.68394666503724	20.0	0.0	1050	241200	-114.53295298040942	-4.261909515022339
5321.592174053192	24	-117.78778882445856	-4.800083972029833	61.522009113079605	-21.17845354737093	-358.4757835849511	20.0	0.0	1050	251250	-111.68620833456316	-4.290114141095797
5538.4908719062805	25	-110.97767526586023	-4.3178413353986524	55.993558121659774	-20.044735286615346	-337.03252149085995	20.0	0.0	1050	261300	-105.98974774004549	-3.816545685749168
5750.79744052887	26	-107.77765812011694	-4.1699844092675304	56.91558902463376	-17.002952175308312	-348.0471012739419	20.0	0.0	1050	271350	-112.80351315553692	-4.30807274203173
5963.440487861633	27	-111.50808234590295	-4.316528538932017	58.392538296391216	-19.86719816502256	-343.0993226682771	20.0	0.0	1050	281400	-110.5492743597389	-4.287415590341202
6175.661818981171	28	-107.3399131436741	-4.101207782866391	61.91826837301695	-18.630784659415614	-415.0277745287291	20.0	0.0	1050	291450	-101.34343441562478	-3.617931606296664
6387.724884033203	29	-110.28058839497979	-4.193259032425603	60.59356733803321	-20.163908360046925	-398.05248633467755	20.0	0.0	1050	301500	-110.09031044405181	-4.424277523413183
6602.723223924637	30	-106.93464040480707	-3.9677121564552533	57.74839140720459	-19.623958645364155	-392.7216132387282	20.0	0.0	1050	311550	-111.0085833610048	-3.914468437534763
6814.297276258469	31	-107.51367234335522	-3.9226622341807094	55.75990032004298	-17.759638252932913	-353.9827977449445	20.0	0.0	1050	321600	-100.8344578921017	-4.272928300909892
7033.12270116806	32	-108.07729914284498	-3.8933101215695984	56.64278763094457	-13.318303312791773	-443.76303391424267	20.0	0.0	1050	331650	-133.77067512831175	-5.243036691080444
7246.002855300903	33	-99.07427890155893	-3.6419886346877592	56.148579389519526	-18.316572846137237	-325.45738270974704	20.0	0.0	1050	341700	-99.84449900301396	-3.447325286017655
7462.921074151993	34	-96.44863747363529	-3.7052407185300615	59.384806578312094	-15.363617423369112	-396.81094184914275	20.0	0.0	1050	351750	-137.17769845579627	-4.952545127299173
7678.182892799377	35	-101.94700724567957	-3.948066041581115	53.544889803355204	-17.60689984144483	-346.7410955241384	20.0	0.0	1050	361800	-93.47078477016619	-3.425096721238236
7890.837662696838	36	-99.04074375052662	-3.6552596059685762	57.42441625389005	-22.74624515395212	-361.5374424553203	20.0	0.0	1050	371850	-99.98110243013087	-3.1404932536531835
8106.19003200531	37	-94.16202231606042	-3.471989640495161	56.38701618646788	-16.607530270360225	-383.90279034278313	20.0	0.0	1050	381900	-102.71181045095119	-4.175252547088133
8318.453581809998	38	-103.06170224094528	-3.7303762946388583	60.164996452581164	-16.295052677261864	-450.82638656481276	20.0	0.0	1050	391950	-95.75922594364542	-3.8716009112896126
8533.681552886963	39	-100.66374556965233	-3.6096322225011783	61.87680919944428	-16.21065237076302	-519.3909972102032	20.0	0.0	1050	402000	-83.07850071951951	-3.300791671721453
8750.296038627625	40	-105.16883771578289	-3.732921089699322	65.91625727477684	-20.770013913292335	-451.08985515441515	20.0	0.0	1050	412050	-108.56798901859273	-3.708848421154611
8962.962098121643	41	-99.40875696618629	-3.604134457470276	56.70832765958309	-17.60312672682008	-339.2642989610606	20.0	0.0	1050	422100	-111.1290227798757	-4.264141704050562
9179.239647388458	42	-95.23442213137461	-3.388226788302166	56.531645613700995	-13.920573122906417	-390.8907701360392	20.0	0.0	1050	432150	-94.40431043446746	-3.200001697897967
9391.671667575836	43	-97.937221915689	-3.5133002634312813	58.9650914332873	-13.947269916138167	-472.31595240908	20.0	0.0	1050	442200	-100.00271119980887	-3.496762354346705
9605.621083021164	44	-95.71541436709126	-3.5220569593321276	63.07445591205416	-11.75511719833006	-381.046480466988	20.0	0.0	1050	452250	-81.80275837788892	-3.3950837485677994
