Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
13.551087856292725	0	-293.08040379018604	-15.09885812100694	44.91749170849819	-169.5104921737287	-438.7981728080057	20.0	0.0	252	10080	-295.88396284656227	-14.98153345807657
25.234081029891968	1	-292.7134035339965	-14.974325674590238	48.92238106296691	-145.38533333717513	-426.26531662610984	20.0	0.0	252	20160	-272.84082355642227	-13.82068316085378
35.13800883293152	2	-293.374082867733	-15.267457594011027	46.95752667884074	-160.1183813838808	-431.05271049174974	20.0	0.0	252	30240	-296.2128181469179	-15.290309660300188
44.97925329208374	3	-288.35792127399327	-14.740882956120295	49.95127590375603	-158.71997930237956	-442.08309640239383	20.0	0.0	252	40320	-280.268243053725	-14.104521505304524
55.81920647621155	4	-284.8231994226964	-14.469025588892093	50.68802992482329	-101.10740003590008	-443.9533806231327	20.0	0.0	252	50400	-284.2803617211283	-14.768483301144778
65.79633927345276	5	-283.760672604804	-14.208127916213783	49.95171676065874	-129.6531510125188	-444.88509709942946	20.0	0.0	252	60480	-275.99038715738453	-13.251766676380745
77.24510025978088	6	-282.05494429452585	-14.022129379269508	49.5666023453987	-121.15014109603074	-429.5352037518948	20.0	0.0	252	70560	-275.52133640793636	-13.490570390651841
88.59475755691528	7	-277.42688769910575	-13.769831289457048	49.27224929915988	-122.2821797892284	-399.7117786681753	20.0	0.0	252	80640	-273.7752645376932	-14.07575459330846
99.85814213752747	8	-274.4520695035562	-13.31833546980735	45.90602236898185	-107.0832467390551	-416.6906511035957	20.0	0.0	252	90720	-260.7258626678951	-12.449180774524953
111.25597977638245	9	-264.26650827475555	-12.553334668498685	49.01285875419579	-137.1023275283553	-426.5156935564873	20.0	0.0	252	100800	-262.2379848799015	-12.6937163948217
122.83184742927551	10	-258.6656700422963	-11.92520950178163	46.794382909042604	-132.6535647533441	-383.7454082185973	20.0	0.0	252	110880	-247.3091550679736	-11.011382015831165
