,Itr,ReturnAvg,ReturnMax,ReturnMin,ReturnStd,TrainingLossFinal,TrainingLossStart
0,-1,-171.7079345859708,-124.39582309351692,-215.95279102391453,28.64727186308469,,
1,0,-66.86799356297081,-29.56666007376274,-93.66524315493017,19.453236862168474,0.02572689764201641,1.0285240411758423
2,1,85.07111523950445,135.93355976841494,31.11504838242785,29.118847524973678,0.018797563388943672,0.046109240502119064
3,2,154.90526285248617,211.39345830276085,105.80172160073448,33.16790993253003,0.019410915672779083,0.025355596095323563
4,3,209.76416678131514,271.71139488018696,129.21566300943303,48.33089318994095,0.022031361237168312,0.01619109883904457
5,4,262.76376108454326,361.24128152250665,215.53242540564435,43.611165434764956,0.00987172219902277,0.012134104035794735
6,5,253.95268149775467,304.46478809003213,174.9435074849266,41.37687377457074,0.010004519484937191,0.012026889249682426
7,6,290.96941423667016,374.17772820699844,214.11566604359743,50.24768758109035,0.010028215125203133,0.010135731659829617
8,7,345.3971685173878,376.84196389176554,302.4092136049711,24.12288765860507,0.005632971879094839,0.008899791166186333
9,8,342.46641749309686,426.8040303357923,267.539749031901,49.83455212320754,0.007334123365581036,0.008096354082226753
10,9,302.80452434401025,354.0132692770281,255.8344390740353,27.716729906652347,0.005352712702006102,0.006666109897196293
11,10,325.775440001241,380.07834420677653,254.96170906005182,41.928645138249856,0.00512351281940937,0.00561436265707016
