Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
20.639630794525146	0	-177.5887773455125	-9.507550903853389	63.31589726271296	-38.68439836081568	-351.82058280624386	20.0	0.0	1100	10100	-153.40068664074505	-8.13376540583483
39.56384348869324	1	-170.72075124609964	-9.451650014625761	67.75230396869296	-38.07379919562106	-370.05222327107566	20.0	0.0	1100	20200	-171.72812372213264	-9.508280959036597
57.74255657196045	2	-172.17040853818864	-9.139071377161905	64.98192934005331	-32.887322496759914	-351.10048825512376	20.0	0.0	1100	30300	-199.12340253556806	-10.564621500959953
76.11044192314148	3	-175.0123724576859	-9.549975333742665	66.96824061674518	-39.02584555762628	-351.45462317453314	20.0	0.0	1100	40400	-165.49280442470106	-8.773497901977906
94.18046760559082	4	-163.21290253791977	-8.688226808823053	65.43673193847391	-28.409407045185805	-360.70487297135327	20.0	0.0	1100	50500	-163.42140159450435	-8.48956178460349
112.32611083984375	5	-156.48981786657578	-8.19972390351352	63.68548064465166	-21.354291401720207	-344.3983690528685	20.0	0.0	1100	60600	-178.51352117353883	-9.453514998213992
130.5027301311493	6	-157.5797654789847	-8.30847414412338	71.8068555760135	-30.237588988032986	-371.2657270261835	20.0	0.0	1100	70700	-184.76977390098733	-9.98175331182017
148.6095106601715	7	-157.32349519695651	-8.181903871173544	73.6047393104116	-36.441018582235	-464.1307928450686	20.0	0.0	1100	80800	-140.0616460991663	-7.804194031704655
166.49512672424316	8	-164.10468415578208	-8.730046955679235	72.41210432158577	-30.51438509873894	-416.13434193995937	20.0	0.0	1100	90900	-176.2240677808172	-9.118866307359294
184.303936958313	9	-168.27682616583076	-8.946871328960247	66.24058096626223	-19.086546980047032	-361.4331538209648	20.0	0.0	1100	101000	-172.63183223353388	-9.011061172501373
202.16477489471436	10	-151.5385003897469	-7.825649036417639	72.9952342227248	-22.54956398662253	-416.9778447132855	20.0	0.0	1100	111100	-175.82967799254257	-9.043882296339213
219.75949215888977	11	-162.3079081091579	-8.476627168329642	75.82971066948267	-22.137915458383937	-403.9516850375357	20.0	0.0	1100	121200	-184.10624104716015	-8.788694219235662
237.4152476787567	12	-157.96222720099968	-8.009652858307371	71.8037028108174	-26.403070571758917	-376.32009908552885	20.0	0.0	1100	131300	-141.34285561441035	-7.933418928009308
254.7498586177826	13	-158.60299874134753	-8.446895450543687	75.50041838127454	-27.71038663007899	-448.7464285821985	20.0	0.0	1100	141400	-175.54758049472017	-8.847886670267126
272.07798504829407	14	-164.86067620201263	-8.592019246844888	75.58147147491799	-17.474460866385634	-427.80417346611756	20.0	0.0	1100	151500	-173.7053355941532	-8.82347373975964
289.47015261650085	15	-153.77413047252116	-8.090856091919385	72.59043899374818	-16.292492562162305	-421.88248501689964	20.0	0.0	1100	161600	-150.84135168657073	-8.006762439243522
306.7882192134857	16	-146.31503336350283	-7.726712311691517	76.3975712848979	-15.120352589777774	-354.67697601284755	20.0	0.0	1100	171700	-193.54065488547542	-10.04650788637402
324.1915581226349	17	-171.3133189692494	-8.970792688951455	78.08425428094083	-29.387881613021417	-454.76745762381574	20.0	0.0	1100	181800	-138.6998125056684	-7.03537587547091
341.57192397117615	18	-162.4767712016623	-8.379713495489257	79.43761572370458	-18.64968050094431	-433.2526987756734	20.0	0.0	1100	191900	-145.89993039223674	-7.731095819973822
358.9295816421509	19	-168.52838165120042	-8.618699522570724	82.83196492332962	-20.068717655289248	-487.6907394043543	20.0	0.0	1100	202000	-143.51300819069186	-7.450945588653338
376.28018522262573	20	-169.85907309796218	-8.8230207371108	84.99506744181443	-16.183423566983446	-509.6586358390017	20.0	0.0	1100	212100	-178.16199673866268	-8.788109121923338
393.64725399017334	21	-154.63305817798724	-7.950835993687824	77.34862269108162	-14.582887247076844	-425.0783623312508	20.0	0.0	1100	222200	-192.18151419137257	-9.265554905167901
411.02509689331055	22	-156.6095420450174	-8.354506076238309	83.49945427155336	-14.798479595741572	-467.39286074705853	20.0	0.0	1100	232300	-172.37234816203437	-8.779550410236697
428.34529757499695	23	-162.29960628888577	-8.35275427185846	81.38740609889874	-15.037167965768532	-431.78516047444276	20.0	0.0	1100	242400	-189.01567274395302	-10.048074294796207
445.66543555259705	24	-147.58068071586095	-7.442873798222529	80.52515969383184	-17.14962515647772	-505.8560301407163	20.0	0.0	1100	252500	-193.52156673360795	-9.487014608204614
463.0422179698944	25	-167.5609510425745	-8.217647599195553	86.28241054910379	-19.044760718167904	-574.0764331580875	20.0	0.0	1100	262600	-175.78919673124668	-8.417015916730838
480.416455745697	26	-170.47005555824023	-8.533114729313464	90.52840376316198	-20.514587416646364	-625.0105793610987	20.0	0.0	1100	272700	-141.66361603375307	-7.129480406018212
497.82348346710205	27	-159.58665380994202	-8.119513359929776	84.78947366404701	-17.083051386472775	-537.2387381499124	20.0	0.0	1100	282800	-185.12757293122027	-10.009914530455163
515.2336497306824	28	-155.61444263496003	-7.59870557882536	88.75206397020723	-16.784356121630374	-456.97770225559697	20.0	0.0	1100	292900	-169.72640149899735	-8.916890877563473
532.6355581283569	29	-163.0386710839506	-8.18777508471421	87.83943033511952	-16.448236827406618	-618.2396677731813	20.0	0.0	1100	303000	-191.30163028601382	-9.646157624294085
550.0161600112915	30	-166.56926170394945	-8.324844058480062	101.43035690557826	-12.251106139810789	-731.4990748009246	20.0	0.0	1100	313100	-156.7114678627164	-8.739303858014257
567.6081819534302	31	-166.8051833787835	-8.436450121431928	91.48527725583432	-24.955723409380358	-538.6172837855889	20.0	0.0	1100	323200	-192.77661409700977	-9.679548351437587
585.0761320590973	32	-170.74937285277989	-8.792820206232726	98.79706943844455	-13.848811461134119	-664.4860496959561	20.0	0.0	1100	333300	-141.83334039089422	-6.420535221923834
602.6052813529968	33	-177.22886315299468	-9.244562529178607	101.87135586093595	-14.585334250765408	-710.5076531333185	20.0	0.0	1100	343400	-198.13802908774085	-10.63479031518264
